AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time(s)
0.2275,0.893,0.2557,-0.6409,0.2742,0.0957,-2.1875,1.3037,-14.8225,0,0,0,1.5782051819114844
0.2286,0.8709,0.2494,-0.6417,0.2732,0.0978,-3.2375,1.575,-14.7962,0,0,0,1.59112051330387
0.2272,0.8908,0.2538,-0.6417,0.2732,0.0978,-2.8438,1.0937,-14.9625,0,0,0,1.6030388398997408
0.2316,0.8927,0.2577,-0.6422,0.2749,0.0979,-2.59,0.6737,-14.9537,0,0,0,1.6114529878725676
0.2256,0.8913,0.2539,-0.6422,0.2749,0.0979,-2.1875,1.1812,-15.3125,0,0,0,1.624353308338395
0.2295,0.8915,0.261,-0.64,0.2751,0.0953,-2.5463,1.4175,-14.6212,0,0,0,1.63627058766032
0.2284,0.8913,0.2536,-0.64,0.2751,0.0953,-3.0538,1.5312,-15.0325,0,0,0,1.6481833287951462
0.23,0.8918,0.261,-0.6428,0.2749,0.094,-2.59,0.8925,-14.8487,0,0,0,1.660093626290765
0.227,0.8905,0.2565,-0.6418,0.2737,0.0965,-2.3363,0.9363,-14.1575,0,0,0,1.6729963903957996
0.227,0.8925,0.2569,-0.6418,0.2737,0.0965,-2.835,1.4787,-14.7437,0,0,0,1.6814213601994008
0.2288,0.8907,0.2561,-0.6424,0.2745,0.096,-2.6425,1.085,-15.1112,0,0,0,1.69343429054172
0.2288,0.8907,0.2578,-0.6424,0.2745,0.096,-2.66,1.0237,-15.05,0,0,0,1.705237766094855
0.2283,0.892,0.2592,-0.642,0.2753,0.0954,-2.2225,1.0762,-14.6037,0,0,0,1.7181157447165027
0.2281,0.8919,0.2592,-0.6405,0.2748,0.0944,-2.2838,1.3037,-14.63,0,0,0,1.7300574604304992
0.2273,0.8904,0.2517,-0.6405,0.2748,0.0944,-2.6688,1.5137,-14.4725,0,0,0,1.741976485209001
0.2271,0.8911,0.2604,-0.6418,0.2754,0.0973,-3.115,1.5662,-14.3937,0,0,0,1.7503948222776113
0.2272,0.8911,0.2553,-0.6418,0.2754,0.0973,-2.5288,1.3037,-14.3238,0,0,0,1.763264771799007
0.2267,0.8922,0.2561,-0.6407,0.2742,0.0922,-2.345,1.2862,-14.8662,0,0,0,1.7752180075264086
0.2293,0.8913,0.2517,-0.6407,0.2742,0.0922,-2.6075,1.2425,-14.6212,0,0,0,1.7870584867589663
0.2266,0.8908,0.2589,-0.6449,0.2745,0.0993,-2.1613,1.435,-15.5137,0,0,0,1.799032318873971
0.2313,0.8922,0.2563,-0.6397,0.275,0.0968,-2.7825,1.2687,-14.8925,0,0,0,1.8084581334785552
0.2256,0.8919,0.2599,-0.6397,0.275,0.0968,-3.1412,1.1112,-14.4812,0,0,0,1.8203645909697057
0.23,0.8914,0.2517,-0.6418,0.2746,0.0947,-2.8263,1.5487,-15.1112,0,0,0,1.8322881539353064
0.2281,0.8933,0.2589,-0.6418,0.2746,0.0947,-2.4763,1.4787,-15.1287,0,0,0,1.8451598489132786
0.2299,0.89,0.2592,-0.6413,0.2747,0.099,-2.1788,1.3825,-14.9975,0,0,0,1.8570984228054375
0.2279,0.8913,0.2517,-0.6408,0.274,0.0986,-2.8612,1.4962,-15.3387,0,0,0,1.8690195421318307
0.2301,0.8922,0.2591,-0.6408,0.274,0.0986,-2.695,1.3037,-14.665,0,0,0,1.8774001773383882
0.2292,0.8929,0.2567,-0.6416,0.2739,0.0964,-3.1238,1.4875,-15.085,0,0,0,1.8903315669312777
0.2275,0.8921,0.2505,-0.6416,0.2739,0.0964,-2.31,1.6712,-15.5137,0,0,0,1.9022219662219242
0.2304,0.8918,0.2593,-0.6432,0.2742,0.0953,-2.1088,1.435,-15.05,0,0,0,1.9141556528356687
0.2255,0.8904,0.256,-0.6432,0.2742,0.0953,-2.6338,1.3562,-14.5075,0,0,0,1.927043406014145
0.2305,0.8931,0.2577,-0.6415,0.2737,0.0956,-2.3975,1.365,-15.0325,0,0,0,1.9389523071445027
0.2303,0.8922,0.2523,-0.6414,0.2746,0.0956,-2.03,1.5137,-15.3912,0,0,0,1.9473926369659775
0.2297,0.8925,0.2527,-0.6414,0.2746,0.0956,-2.4325,1.4,-14.9975,0,0,0,1.9593102653792178
0.2295,0.8921,0.2557,-0.6399,0.2754,0.0959,-3.5525,1.3912,-15.47,0,0,0,1.9721844039963974
0.2271,0.8904,0.2569,-0.6399,0.2754,0.0959,-2.7913,1.3562,-14.945,0,0,0,1.984092257852809
0.2274,0.8917,0.2573,-0.6431,0.2747,0.0978,-2.5988,1.1987,-14.595,0,0,0,1.9960304826536523
0.2309,0.8909,0.2568,-0.6433,0.2742,0.0983,-3.0888,1.2337,-14.7175,0,0,0,2.0044324124304436
0.2278,0.8914,0.2567,-0.6433,0.2742,0.0983,-2.7125,1.2862,-14.6825,0,0,0,2.0186906981128123
0.2269,0.8922,0.2536,-0.6414,0.2748,0.0958,-2.7388,1.54,-14.7962,0,0,0,2.0292800340713124
0.2285,0.8932,0.2592,-0.6414,0.2748,0.0958,-2.31,1.225,-14.8575,0,0,0,2.0411962661192917
0.2266,0.8911,0.2539,-0.6415,0.2769,0.097,-2.45,0.9713,-14.7788,0,0,0,2.0540752920148853
0.2267,0.8922,0.2539,-0.6415,0.2746,0.1013,-2.7125,0.9975,-14.6037,0,0,0,2.0660082804459994
0.2297,0.8918,0.2549,-0.6419,0.2746,0.1013,-2.345,1.3387,-14.56,0,0,0,2.07443848661933
0.2288,0.8925,0.2559,-0.6415,0.2732,0.0981,-2.6513,1.2687,-15.1725,0,0,0,2.086295024052392
0.2284,0.8929,0.258,-0.6415,0.2732,0.0981,-2.59,0.84,-15.1375,0,0,0,2.099227111827912
