AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time(s)
0.2358,0.8913,0.2453,-0.643,0.2726,0.0866,-2.7037,1.435,-15.1375,0,0,0,1.5812087635883794
0.2311,0.8679,0.2359,-0.6452,0.2717,0.0915,-2.485,1.5137,-15.5225,0,0,0,1.5931595556765739
0.2362,0.8911,0.2506,-0.6452,0.2717,0.0915,-2.66,0.8925,-15.225,0,0,0,1.6015618345446803
0.2372,0.89,0.2503,-0.6445,0.273,0.0809,-3.115,1.225,-14.5075,0,0,0,1.6135234484636491
0.2333,0.8915,0.2454,-0.6445,0.273,0.1014,-2.905,1.3387,-14.175,0,0,0,1.6264269107513143
0.2363,0.8934,0.248,-0.645,0.2713,0.0866,-2.9138,1.295,-15.085,0,0,0,1.6384126119710394
0.2368,0.8923,0.247,-0.6434,0.2734,0.0886,-3.36,1.365,-14.5862,0,0,0,1.6502544875688583
0.2347,0.8908,0.2495,-0.6434,0.2734,0.0886,-3.3075,1.0325,-15.0412,0,0,0,1.658636519140677
0.2379,0.8914,0.2533,-0.643,0.2726,0.0891,-2.87,1.2075,-14.9187,0,0,0,1.6716283015311144
0.2383,0.8922,0.2478,-0.643,0.2726,0.0891,-2.765,0.84,-15.2775,0,0,0,1.683445740736862
0.2336,0.8915,0.2449,-0.6459,0.273,0.087,-2.415,0.945,-15.295,0,0,0,1.6953843146290206
0.2369,0.8921,0.2482,-0.6459,0.2705,0.0899,-2.4413,1.2687,-14.8487,0,0,0,1.7082996460214064
0.2347,0.8915,0.2472,-0.6454,0.2705,0.0899,-2.5725,1.5312,-15.8025,0,0,0,1.7201142924966313
0.235,0.8926,0.2471,-0.6421,0.2722,0.087,-2.3975,1.33,-15.54,0,0,0,1.7285507823136377
0.2369,0.8924,0.2461,-0.6421,0.2722,0.087,-2.8175,1.2163,-14.91,0,0,0,1.7405284544331106
0.2345,0.8913,0.2452,-0.6426,0.273,0.0924,-2.8875,1.4437,-14.665,0,0,0,1.7534594949346851
0.233,0.8927,0.2464,-0.6426,0.273,0.0924,-2.7562,0.805,-14.9275,0,0,0,1.773015939509457
0.2381,0.8922,0.2459,-0.6462,0.2722,0.0892,-3.08,1.0237,-14.735,0,0,0,1.7772546062599055
0.2325,0.8915,0.2427,-0.6449,0.2722,0.089,-2.5288,1.2775,-14.4112,0,0,0,1.7901559739996789
0.236,0.8926,0.2485,-0.6449,0.2722,0.089,-3.22,1.3825,-14.3413,0,0,0,1.7985903692687935
0.2367,0.8917,0.2461,-0.6442,0.2714,0.0878,-3.1063,1.6625,-14.665,0,0,0,1.8104971758512591
0.2358,0.8918,0.2467,-0.6442,0.2714,0.0878,-2.3888,1.33,-14.8225,0,0,0,1.8224046806163556
0.2369,0.8913,0.2481,-0.6442,0.2725,0.0892,-2.5638,1.4,-14.8662,0,0,0,1.8352987174385076
0.234,0.8908,0.2463,-0.6434,0.2728,0.088,-2.7475,1.3212,-14.4987,0,0,0,1.8472351967827745
0.2356,0.8922,0.2483,-0.6434,0.2728,0.088,-2.45,1.3125,-14.735,0,0,0,1.8556315410985205
0.2353,0.8927,0.246,-0.6445,0.273,0.0872,-1.8725,1.505,-14.91,0,0,0,1.8675704640819946
0.2339,0.8942,0.2472,-0.6445,0.273,0.0872,-2.1175,1.4437,-15.4962,0,0,0,1.8804610099909935
0.2343,0.8931,0.25,-0.6449,0.273,0.0898,-2.9575,1.435,-14.6037,0,0,0,1.892380034769495
0.2347,0.8894,0.2459,-0.6449,0.273,0.0898,-3.5438,0.8138,-14.7788,0,0,0,1.9043081359221945
0.2341,0.8899,0.2435,-0.6443,0.2717,0.0809,-3.4563,1.2163,-15.0587,0,0,0,1.917190303639626
0.2353,0.8927,0.2492,-0.6441,0.2715,0.0884,-2.5375,0.84,-14.7962,0,0,0,1.9256425025658213
0.2396,0.8924,0.2462,-0.6441,0.2715,0.0884,-3.2638,1.435,-14.6125,0,0,0,1.9375269673041073
0.2349,0.8908,0.2486,-0.6434,0.2724,0.0882,-2.8963,1.3737,-14.4462,0,0,0,1.949471126657311
0.2371,0.8894,0.2464,-0.6434,0.2724,0.0882,-2.6513,1.3825,-14.8575,0,0,0,1.9623599271097334
0.2346,0.893,0.2499,-0.6422,0.2722,0.091,-2.31,1.1287,-15.4525,0,0,0,1.97425626095274
0.236,0.8932,0.2487,-0.6428,0.2726,0.0902,-2.6513,1.295,-14.63,0,0,0,1.9861274602210446
0.2364,0.8918,0.2474,-0.6428,0.2726,0.0902,-3.1675,1.3125,-15.0325,0,0,0,1.9945855936996
0.2373,0.8922,0.2474,-0.6445,0.272,0.0879,-2.6163,1.1287,-15.3037,0,0,0,2.007510699648814
0.2378,0.8915,0.2448,-0.6445,0.272,0.0879,-2.625,1.015,-15.05,0,0,0,2.01941750623128
0.2345,0.8935,0.2464,-0.6444,0.2719,0.086,-2.4938,1.26,-14.735,0,0,0,2.0313152364395477
0.2371,0.8919,0.2516,-0.6444,0.2719,0.086,-3.08,1.1812,-14.3762,0,0,0,2.0432342612180494
0.2354,0.8933,0.2458,-0.6429,0.2722,0.085,-3.01,1.3125,-14.3325,0,0,0,2.052651348539751
0.235,0.8913,0.243,-0.6446,0.2718,0.0878,-2.31,1.2075,-14.8837,0,0,0,2.0645410496477665
0.2367,0.8915,0.2485,-0.6446,0.2718,0.0878,-3.045,1.1638,-14.7,0,0,0,2.0764614707915294
0.2354,0.8924,0.2441,-0.6449,0.2723,0.0896,-2.4325,1.2163,-14.315,0,0,0,2.0893771512752304
0.2324,0.8924,0.2466,-0.6449,0.2723,0.0896,-3.0888,1.4,-14.4987,0,0,0,2.1012546341872107
0.2377,0.893,0.254,-0.6451,0.2717,0.0885,-2.4588,1.5312,-14.9713,0,0,0,2.113208568097243
